timestamp,equipment_id,equipment_type,health_score,temperature,vibration,power_consumption,is_anomaly,anomaly_reason
2026-03-24 00:00:00,Motor_001,Motor,99.73741509641091,42.14,1.19,9.32,0,
2026-03-24 00:01:00,Motor_001,Motor,99.78547124142378,41.29,1.43,9.1,0,
2026-03-24 00:02:00,Motor_001,Motor,100.0,45.61,2.2,8.79,0,
2026-03-24 00:03:00,Motor_001,Motor,99.48770672319792,44.19,2.5,8.89,0,
2026-03-24 00:04:00,Motor_001,Motor,100.0,58.89,2.61,7.49,0,
2026-03-24 00:05:00,Motor_001,Motor,100.0,42.31,2.06,8.63,0,
2026-03-24 00:06:00,Motor_001,Motor,100.0,49.47,2.4,6.99,0,
2026-03-24 00:07:00,Motor_001,Motor,99.907593853948,42.95,2.05,8.8,0,
2026-03-24 00:08:00,Motor_001,Motor,99.95805231558114,49.86,3.25,11.87,1,power_consumption_spike
2026-03-24 00:09:00,Motor_001,Motor,99.79612926659954,44.7,3.02,8.52,0,
2026-03-24 00:10:00,Motor_001,Motor,99.24741579971187,41.05,2.39,9.0,0,
2026-03-24 00:11:00,Motor_001,Motor,100.0,46.57,2.59,9.17,0,
2026-03-24 00:12:00,Motor_001,Motor,99.81001842007647,51.37,1.17,8.1,0,
2026-03-24 00:13:00,Motor_001,Motor,100.0,44.17,1.49,9.9,0,
2026-03-24 00:14:00,Motor_001,Motor,99.15616751817156,39.64,2.55,7.84,0,
2026-03-24 00:15:00,Motor_001,Motor,100.0,43.7,2.29,8.49,0,
2026-03-24 00:16:00,Motor_001,Motor,99.4170120874433,41.12,2.1,9.91,0,
2026-03-24 00:17:00,Motor_001,Motor,99.5510822404375,45.38,2.96,9.37,0,
2026-03-24 00:18:00,Motor_001,Motor,99.80812727479804,48.25,2.77,9.12,0,
2026-03-24 00:19:00,Motor_001,Motor,99.79625899723789,40.57,2.78,9.03,0,
2026-03-24 00:20:00,Motor_001,Motor,100.0,43.38,1.78,9.8,0,
2026-03-24 00:21:00,Motor_001,Motor,100.0,51.09,2.92,7.28,0,
2026-03-24 00:22:00,Motor_001,Motor,100.0,48.67,2.12,9.27,0,
2026-03-24 00:23:00,Motor_001,Motor,100.0,49.7,2.57,7.73,0,
2026-03-24 00:24:00,Motor_001,Motor,99.8680653101888,51.05,3.87,7.09,0,
2026-03-24 00:25:00,Motor_001,Motor,99.50584902476456,49.89,2.43,9.24,0,
2026-03-24 00:26:00,Motor_001,Motor,100.0,50.23,2.04,9.21,0,
2026-03-24 00:27:00,Motor_001,Motor,100.0,53.81,2.1,8.55,0,
2026-03-24 00:28:00,Motor_001,Motor,100.0,40.2,2.95,8.8,0,
2026-03-24 00:29:00,Motor_001,Motor,99.99729983907817,49.36,2.5,9.49,0,
2026-03-24 00:30:00,Motor_001,Motor,100.0,39.24,2.58,8.46,0,
2026-03-24 00:31:00,Motor_001,Motor,99.0900742263788,46.79,2.54,8.17,0,
2026-03-24 00:32:00,Motor_001,Motor,100.0,47.75,3.69,9.86,0,
2026-03-24 00:33:00,Motor_001,Motor,99.9908826650228,47.21,2.19,6.83,0,
2026-03-24 00:34:00,Motor_001,Motor,100.0,43.33,2.66,9.45,0,
2026-03-24 00:35:00,Motor_001,Motor,100.0,53.26,3.42,7.22,0,
2026-03-24 00:36:00,Motor_001,Motor,100.0,44.9,1.85,6.51,0,
2026-03-24 00:37:00,Motor_001,Motor,100.0,51.62,2.27,10.85,0,
2026-03-24 00:38:00,Motor_001,Motor,100.0,43.99,2.82,6.6,0,
2026-03-24 00:39:00,Motor_001,Motor,99.67270982807862,55.56,2.54,8.39,0,
2026-03-24 00:40:00,Motor_001,Motor,100.0,49.42,2.19,9.45,0,
2026-03-24 00:41:00,Motor_001,Motor,100.0,47.91,2.94,7.79,0,
2026-03-24 00:42:00,Motor_001,Motor,99.36847443535908,41.65,3.28,8.09,0,
2026-03-24 00:43:00,Motor_001,Motor,99.98432701554852,49.65,2.97,9.35,0,
2026-03-24 00:44:00,Motor_001,Motor,99.67120069306962,54.56,1.6,9.7,0,
2026-03-24 00:45:00,Motor_001,Motor,100.0,48.34,2.5,10.27,0,
2026-03-24 00:46:00,Motor_001,Motor,100.0,48.07,2.28,9.06,0,
2026-03-24 00:47:00,Motor_001,Motor,100.0,42.61,3.18,10.07,0,
2026-03-24 00:48:00,Motor_001,Motor,99.9734437140763,41.59,3.14,8.99,0,
2026-03-24 00:49:00,Motor_001,Motor,99.2524144158473,40.78,2.73,9.48,0,
2026-03-24 00:50:00,Motor_001,Motor,100.0,56.38,2.28,9.7,0,
2026-03-24 00:51:00,Motor_001,Motor,99.9187419812924,49.88,2.89,7.14,0,
2026-03-24 00:52:00,Motor_001,Motor,99.06863656012104,35.44,2.79,9.24,0,
2026-03-24 00:53:00,Motor_001,Motor,100.0,44.34,2.36,7.4,0,
2026-03-24 00:54:00,Motor_001,Motor,99.92948401622706,46.38,1.27,8.39,0,
2026-03-24 00:55:00,Motor_001,Motor,100.0,46.51,2.66,6.9,0,
2026-03-24 00:56:00,Motor_001,Motor,100.0,50.3,2.09,8.74,0,
2026-03-24 00:57:00,Motor_001,Motor,100.0,52.76,3.08,8.67,0,
2026-03-24 00:58:00,Motor_001,Motor,99.836120644726,52.45,2.28,6.77,0,
2026-03-24 00:59:00,Motor_001,Motor,100.0,44.31,1.41,9.83,0,
2026-03-24 01:00:00,Motor_001,Motor,100.0,44.93,2.36,8.49,0,
2026-03-24 01:01:00,Motor_001,Motor,100.0,37.79,2.46,8.99,0,
2026-03-24 01:02:00,Motor_001,Motor,99.82329880372258,55.28,2.28,7.68,0,
2026-03-24 01:03:00,Motor_001,Motor,99.25109479663377,44.04,1.36,8.54,0,
2026-03-24 01:04:00,Motor_001,Motor,100.0,49.26,2.13,7.95,0,
2026-03-24 01:05:00,Motor_001,Motor,100.0,43.45,1.4,7.51,0,
2026-03-24 01:06:00,Motor_001,Motor,100.0,40.14,3.26,7.69,0,
2026-03-24 01:07:00,Motor_001,Motor,99.87266376401745,44.76,2.17,8.15,0,
2026-03-24 01:08:00,Motor_001,Motor,100.0,50.28,2.06,10.87,0,
2026-03-24 01:09:00,Motor_001,Motor,99.74485259288468,52.91,2.17,7.19,0,
2026-03-24 01:10:00,Motor_001,Motor,100.0,45.14,2.32,8.04,0,
2026-03-24 01:11:00,Motor_001,Motor,99.77313830816088,42.93,2.23,9.18,0,
2026-03-24 01:12:00,Motor_001,Motor,99.92113327660924,46.19,2.14,9.03,0,
2026-03-24 01:13:00,Motor_001,Motor,100.0,53.1,2.12,7.5,0,
2026-03-24 01:14:00,Motor_001,Motor,98.5920988176511,42.71,1.74,7.36,0,
2026-03-24 01:15:00,Motor_001,Motor,100.0,36.94,2.3,9.26,0,
2026-03-24 01:16:00,Motor_001,Motor,100.0,41.38,1.61,8.67,0,
2026-03-24 01:17:00,Motor_001,Motor,100.0,52.9,2.56,9.09,0,
2026-03-24 01:18:00,Motor_001,Motor,99.8010248233954,47.72,1.4,8.23,0,
2026-03-24 01:19:00,Motor_001,Motor,99.83498630690325,51.51,1.38,7.66,0,
2026-03-24 01:20:00,Motor_001,Motor,99.96756859027435,43.8,2.95,7.62,0,
2026-03-24 01:21:00,Motor_001,Motor,100.0,47.84,2.3,9.75,0,
2026-03-24 01:22:00,Motor_001,Motor,99.9995578635526,42.56,1.95,10.01,0,
2026-03-24 01:23:00,Motor_001,Motor,99.78426133460162,49.15,2.28,7.95,0,
2026-03-24 01:24:00,Motor_001,Motor,100.0,51.93,1.68,7.44,0,
2026-03-24 01:25:00,Motor_001,Motor,100.0,49.18,1.34,11.14,0,
2026-03-24 01:26:00,Motor_001,Motor,99.97996523949897,53.91,2.61,8.75,0,
2026-03-24 01:27:00,Motor_001,Motor,99.28527921663589,54.43,2.55,9.28,0,
2026-03-24 01:28:00,Motor_001,Motor,100.0,42.06,3.04,9.35,0,
2026-03-24 01:29:00,Motor_001,Motor,99.84005055683636,48.14,2.09,8.24,0,
2026-03-24 01:30:00,Motor_001,Motor,99.87996628270668,44.97,2.9,9.58,0,
2026-03-24 01:31:00,Motor_001,Motor,99.44538280431064,47.58,2.42,8.66,0,
2026-03-24 01:32:00,Motor_001,Motor,100.0,41.09,2.44,11.07,0,
2026-03-24 01:33:00,Motor_001,Motor,100.0,31.7,1.88,8.7,0,
2026-03-24 01:34:00,Motor_001,Motor,99.82505107593288,44.25,2.92,8.14,0,
2026-03-24 01:35:00,Motor_001,Motor,100.0,41.14,2.51,7.77,0,
2026-03-24 01:36:00,Motor_001,Motor,99.88627768414926,47.5,2.32,9.31,0,
2026-03-24 01:37:00,Motor_001,Motor,100.0,46.26,2.0,7.56,0,
2026-03-24 01:38:00,Motor_001,Motor,100.0,38.79,3.16,9.26,0,
2026-03-24 01:39:00,Motor_001,Motor,100.0,34.15,2.23,8.47,0,
2026-03-24 01:40:00,Motor_001,Motor,100.0,55.78,2.19,7.21,0,
2026-03-24 01:41:00,Motor_001,Motor,99.13412513171424,47.76,2.86,9.03,0,
2026-03-24 01:42:00,Motor_001,Motor,100.0,39.98,2.42,8.88,0,
2026-03-24 01:43:00,Motor_001,Motor,99.77390362857778,45.99,2.79,7.7,0,
2026-03-24 01:44:00,Motor_001,Motor,99.50551555080597,47.87,3.54,8.6,0,
2026-03-24 01:45:00,Motor_001,Motor,100.0,37.4,2.17,9.49,0,
2026-03-24 01:46:00,Motor_001,Motor,100.0,45.9,3.49,6.94,0,
2026-03-24 01:47:00,Motor_001,Motor,100.0,47.66,2.96,9.64,0,
2026-03-24 01:48:00,Motor_001,Motor,99.8322589297814,50.32,2.91,9.79,0,
2026-03-24 01:49:00,Motor_001,Motor,99.7180036585294,48.16,2.47,8.63,0,
2026-03-24 01:50:00,Motor_001,Motor,99.83773389832665,50.65,2.27,7.09,0,
2026-03-24 01:51:00,Motor_001,Motor,99.42262192270788,51.39,2.57,6.57,0,
2026-03-24 01:52:00,Motor_001,Motor,100.0,49.34,1.83,9.21,0,
2026-03-24 01:53:00,Motor_001,Motor,100.0,41.58,1.26,8.81,0,
2026-03-24 01:54:00,Motor_001,Motor,99.06304768036009,40.64,2.35,7.49,0,
2026-03-24 01:55:00,Motor_001,Motor,98.97500230331528,38.96,2.84,7.67,0,
2026-03-24 01:56:00,Motor_001,Motor,99.60938727060764,50.84,1.72,7.98,0,
2026-03-24 01:57:00,Motor_001,Motor,100.0,41.89,2.42,7.33,0,
2026-03-24 01:58:00,Motor_001,Motor,100.0,46.72,2.15,10.86,0,
2026-03-24 01:59:00,Motor_001,Motor,99.51976350862502,45.82,2.79,9.58,0,
2026-03-24 02:00:00,Motor_001,Motor,99.99168047074764,36.26,2.94,7.66,0,
2026-03-24 02:01:00,Motor_001,Motor,100.0,39.7,2.06,8.84,0,
2026-03-24 02:02:00,Motor_001,Motor,99.37239329738604,36.8,2.62,9.43,0,
2026-03-24 02:03:00,Motor_001,Motor,100.0,48.58,2.93,10.03,0,
2026-03-24 02:04:00,Motor_001,Motor,100.0,43.15,2.16,8.92,0,
2026-03-24 02:05:00,Motor_001,Motor,99.82392736520345,45.02,1.76,8.59,0,
2026-03-24 02:06:00,Motor_001,Motor,99.2611542565286,52.48,2.63,9.04,0,
2026-03-24 02:07:00,Motor_001,Motor,100.0,37.79,2.7,8.1,0,
2026-03-24 02:08:00,Motor_001,Motor,100.0,35.95,2.26,8.87,0,
2026-03-24 02:09:00,Motor_001,Motor,99.86924207953624,34.82,3.04,8.09,0,
2026-03-24 02:10:00,Motor_001,Motor,99.84538539580392,48.24,3.06,8.28,0,
2026-03-24 02:11:00,Motor_001,Motor,99.87645467990556,48.17,3.33,8.29,0,
2026-03-24 02:12:00,Motor_001,Motor,99.59868356301511,45.37,2.98,9.01,0,
2026-03-24 02:13:00,Motor_001,Motor,100.0,43.85,2.86,9.11,0,
2026-03-24 02:14:00,Motor_001,Motor,100.0,51.25,1.98,8.87,0,
2026-03-24 02:15:00,Motor_001,Motor,99.25259132574548,43.42,2.49,9.06,0,
2026-03-24 02:16:00,Motor_001,Motor,100.0,43.62,2.41,10.97,0,
2026-03-24 02:17:00,Motor_001,Motor,100.0,39.53,2.74,7.93,0,
2026-03-24 02:18:00,Motor_001,Motor,99.72856499365632,57.01,2.76,7.62,0,
2026-03-24 02:19:00,Motor_001,Motor,99.79511095231408,44.57,2.13,7.44,0,
2026-03-24 02:20:00,Motor_001,Motor,100.0,42.53,2.64,10.31,0,
2026-03-24 02:21:00,Motor_001,Motor,100.0,48.41,3.04,9.45,0,
2026-03-24 02:22:00,Motor_001,Motor,100.0,47.01,2.32,7.47,0,
2026-03-24 02:23:00,Motor_001,Motor,100.0,50.65,2.45,9.25,0,
2026-03-24 02:24:00,Motor_001,Motor,100.0,42.49,3.05,9.43,0,
2026-03-24 02:25:00,Motor_001,Motor,98.99450389507166,40.49,3.5,10.28,0,
